,ngram,comment,label
0,inis,"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home M<ng>inis</ng>ter have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG
1,inis,"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no fem<ng>inis</ng>ts protesting for that ?",NAG
2,inis,Watch Section 375. It's a masterpiece exposing fem<ng>inis</ng>m.,NAG
3,inis,"I agree with a lot of what you said. But a lot of things didnt make any sense,
like the way the love develops felt artificial and forced, and not
organically. Really not about fem<ng>inis</ng>m or misogynist, the movie as such didnt
make much sense.",NAG
4,inis,A very good answer to all the pseudo liberals Nd pseudo fem<ng>inis</ng>ts 👏🏻👏🏻,NAG
5,inis,"Fem<ng>inis</ng>m is socioeconomic equality... No one should rape anyone. How bizzare
is that. Fem<ng>inis</ng>m is about having equal opportunity and responsibility",NAG
6,inis,"Modern Fem<ng>inis</ng>m is a cancer to the society.  
Prove me wrong...",NAG
7,inis,"Lol u don't know what's fem<ng>inis</ng>m either if u believe dictionary meaning, if u
believed in true equality then u would support egalitarianism instead if
fem<ng>inis</ng>m",NAG
8,inis,"I'm a fem<ng>inis</ng>t but I totally agree with everything you said. Kabir Singh is a
masterpiece ❤️💯",NAG
9,inis,"It's a ""Character Driven Story"" , the story of 'Kabir Singh' , the scenes in
the movie follows Kabir where the other actors will automatically have less
duration and less dialogues.  
Some fem<ng>inis</ng>ts and Kiara's fans complaining about very less dialogues for
Kiara advani, they didn't even understand that Preeti character was full of
expressions who actually was an innocent girl of 19 and drives with Kabir
character where both of them feels responsible for the life and family.  
Before commenting something about the film they should understand the depth of
the characters and the new type of scenes which will actually happen in
reality.",NAG
10,femi,"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no <ng>femi</ng>nists protesting for that ?",NAG
